case_type,metric_type,n_samples,EER,F1,Accuracy,presence_accuracy,presence_auc
A_impersonation,fake_detection,223,0.28030303030303033,0.10256410256410256,0.8430493273542601,,
B_institution_ars,fake_detection,432,0.08327615780445971,0.8968609865470852,0.8935185185185185,,
C_realtime_vc,fake_detection,225,0.04318181818181818,0.22727272727272727,0.8488888888888889,,
D_partial_splice,fake_detection,220,,,,,
E_phone_channel,fake_detection,126,0.11891551071878942,0.8852459016393442,0.8888888888888888,,
G_full_ai_music,fake_detection,181,0.027383619616629336,0.9387755102040817,0.9502762430939227,,
